"Site Name_2024","GRI ID","Stewardship_2024","Missing or demolished_2024","Complete short circuit at inlet_2024","Complete short circuit at outlet_2024","No ponding depth_2024","Standing water 24 hours after rain_2024","CDA Score_2024","Inlet Score_2024","Pre-Treatment Score_2024","Planting Bed Score_2024","Outlet Score_2024","Vegetation Score_2024","Soil Score_2024","Total Score_2024","Condition Score_2024","Year_2024","Site Name_2022","Missing or demolished_2022","Complete short circuit at inlet_2022","Complete short circuit at outlet_2022","No ponding depth_2022","Standing water 24 hours after rain_2022","CDA Score_2022","Inlet Score_2022","Pre-Treatment Score_2022","Planting Bed Score_2022","Outlet Score_2022","Vegetation Score_2022","Soil Score_2022","Total Score_2022","Condition Score_2022","Year_2022","Stewardship_2022"
"E Kent Ave N - S side across from 3131",130014,"No Stewardship","no","no","no","yes","no",1.66666666666667,1.6,3,2.42857142857143,1.8,1.75,1.5,2.5906462585034,5,2024,"E Kent Ave N - South side of street across from unit 3131","no","no","no","yes","no",1.66666666666667,1.5,2,3,1.83333333333333,3,2.66666666666667,2.91666666666667,5,2022,"No Stewardship"
"E Kent Ave N - S side across from 101",130015,"No Stewardship","no","no","no","yes","no",1.66666666666667,1.4,2.75,2.42857142857143,1.6,2,3,2.73350340136054,5,2024,"E Kent Ave N - South side of street, across from unit 101","no","no","no","yes","no",1.66666666666667,1.5,1.75,3,2.5,3,3,3.00595238095238,5,2022,"No Stewardship"
"E Kent Ave N - S side across from 3187",130016,"No Stewardship","no","no","no","yes","no",2,1.2,2.75,2.42857142857143,1.8,1.75,3,2.71326530612245,5,2024,"E Kent Ave - South side of street across from unit 3187","no","no","no","yes","no",2,1.5,1.75,3.33333333333333,2.66666666666667,3,2.66666666666667,3.10119047619048,5,2022,"No Stewardship"
"E Kent Ave N - S side across from 3161",130017,"No Stewardship","no","no","no","yes","no",1.66666666666667,1.4,2.75,2.42857142857143,1.6,2.5,3,2.8406462585034,5,2024,"E Kent Ave N - South side of street across from unit 3161","no","no","no","yes","no",1.66666666666667,1.5,1.75,3.16666666666667,2,3,2.33333333333333,2.875,5,2022,"No Stewardship"
"Kerr St - E side, top middle of block",130102,"No Stewardship","no","yes","no","yes","no",3,1.8,2,2.42857142857143,1.6,3.25,4.5,3.33112244897959,5,2024,"Kerr St - East side of road, top middle of block","no","yes","no","yes","no",3.5,2.25,1.66666666666667,2.33333333333333,1.6,4.66666666666667,3.66666666666667,3.59166666666667,5,2022,"No Stewardship"
"Sawmill - N side, W of parking lot",120074,"No Stewardship","no","no","no","no","no",3.33333333333333,2.2,2.25,2.57142857142857,1.4,2.5,4,3.28792517006803,4,2024,"Sawmill Crescent - North side of street, west of Save On Foods Parking Lot","no","no","no","no","no",3.33333333333333,2,2.66666666666667,2.83333333333333,1.5,3.33333333333333,2.66666666666667,3.39285714285714,3,2022,"No Stewardship"
"Quebec St @ Switchmen St NE",110107,"No Stewardship","no","yes","no","no","no",2,2.8,4,1.71428571428571,1.66666666666667,1.75,1,2.86615646258503,3,2024,"Quebec St @ Switchmen St NE","no","no","no","no","no",1.5,1.66666666666667,2.66666666666667,1.83333333333333,1,3,2.66666666666667,2.70238095238095,3,2022,"No Stewardship"
"Brigadoon near Duff (smaller garden)",110115,"No Stewardship","no","no","no","no","no",2,1.4,1.75,2,1.6,2.2,4,2.66071428571429,3,2024,"Brigadoon Avenue Near Duff (smaller garden)","no","no","no","no","no",2,1.5,1.5,1.83333333333333,1.5,2,1.66666666666667,2.20238095238095,2,2022,"No Stewardship"
"Bidwell St @ Comox St NE",120019,"Green Streets","no","no","no","no","no",2.66666666666667,1.8,2.25,2.28571428571429,1.6,1,3,2.61003401360544,3,2024,"Bidwell St @ Comox St NE","no","no","no","no","no",2.66666666666667,2,2.5,2,1.5,1,2,2.48809523809524,2,2022,"No Stewardship"
"Bute St @ Comox St NW",120020,"Green Streets","no","no","no","no","no",2,1.6,3,2.57142857142857,1.4,1,3.5,2.73673469387755,3,2024,"Bute St @ Comox St NW","no","no","no","yes","no",2,1.75,2.25,2,1.33333333333333,1,1.66666666666667,2.21428571428571,5,2022,"No Stewardship"
"Nicola St @ Comox St NE",120022,"Green Streets","no","no","no","no","no",2.33333333333333,1.8,2,2,1.2,1.5,4,2.64047619047619,3,2024,"Nicola St @ Comox St NE","no","no","no","no","no",2.33333333333333,1.75,2.25,1.83333333333333,2,1.66666666666667,2,2.51190476190476,2,2022,"No Stewardship"
"Ontario St @ 50th Ave SE",120034,"Green Streets","no","no","no","no","no",1.66666666666667,1.6,1.75,1.85714285714286,2.2,3.66666666666667,4,3.02534013605442,3,2024,"Ontario St @ E 50th Ave SE","no","no","no","no","no",1.66666666666667,1.75,1.5,1.5,1.5,1.33333333333333,2.33333333333333,2.08928571428571,2,2022,"No Stewardship"
"Laurel St @ 19th Ave NW",120041,"Green Streets","no","no","no","no","no",2,2,2.5,2.42857142857143,1.2,3,3,3.01326530612245,3,2024,"Laurel St @ W 19th Ave NW","no","no","no","no","no",2,2.33333333333333,2.25,1.83333333333333,1.33333333333333,3.66666666666667,2.33333333333333,2.9702380952381,3,2022,"No Stewardship"
"Nanaimo St @ E 40th Ave SW",120052,"No Stewardship","no","no","no","no","no",2.66666666666667,2,1.75,2.14285714285714,1.6,2.75,1.5,2.67585034013605,3,2024,"Nanaimo St @ E 40st Ave SW","no","no","no","yes","no",2.66666666666667,2,2,2.83333333333333,1.5,2.33333333333333,2,2.8452380952381,5,2022,"No Stewardship"
"Nanaimo St @ E 39th Ave SW",120053,"No Stewardship","no","no","no","no","no",2,2,1.66666666666667,2.28571428571429,1.8,2,4,2.81836734693878,3,2024,"Nanaimo St @ E 39th Ave SW","no","no","no","no","no",2,2,2,2.66666666666667,5,2.33333333333333,2,3.21428571428571,3,2022,"No Stewardship"
"Nicola St @ Comox St SW",120054,"Green Streets","no","no","no","no","no",2,1.6,2,2.42857142857143,1.4,1.75,4,2.72397959183673,3,2024,"Nicola St @ Comox St SW","no","no","no","yes","no",2,2.25,2,2,1.16666666666667,1.66666666666667,1.33333333333333,2.33928571428571,5,2022,"No Stewardship"
"Willow St @ 16th Ave NE",120063,"Green Streets","no","no","no","no","no",2,2,1.5,1.85714285714286,1.4,2.6,3.5,2.69081632653061,3,2024,"Willow at W 16th NE","no","no","no","no","no",1,2,1.66666666666667,1.66666666666667,1.2,2,1.66666666666667,2.12380952380952,2,2022,"No Stewardship"
"Willow St @ 16th Ave NW",120064,"Green Streets","no","no","no","no","no",3,1.4,3,1.85714285714286,1.6,1.75,4,2.94438775510204,3,2024,"Willow @ 16th NW","no","no","no","yes","no",1,2,3.66666666666667,2,1.2,1,3,2.6,5,2022,"No Stewardship"
"Sawmill - N side in front of 3535",120072,"No Stewardship","no","no","no","no","no",2.66666666666667,2.2,2.25,2.28571428571429,1.4,1.5,3,2.77431972789116,3,2024,"Sawmill Crescent - North side of street in front of 3535 Sawmill Cres.","no","no","no","no","no",2.66666666666667,2.25,2.66666666666667,2.5,1.33333333333333,3,2.33333333333333,3.13690476190476,3,2022,"No Stewardship"
"Sawmill - N side in front of 3557",120073,"No Stewardship","no","no","no","no","no",3.33333333333333,3,2.25,1.85714285714286,1.4,1.5,2.5,2.87772108843537,3,2024,"Sawmill Crescent - North side of road in front of 3557 Sawmill Cres.","no","no","no","no","no",4,2.25,2.66666666666667,2.83333333333333,1.5,2.66666666666667,3,3.44642857142857,3,2022,"No Stewardship"
"Sawmill - S side in front of 3560",120075,"No Stewardship","no","no","no","no","no",4,1.6,2.25,2.14285714285714,1.4,1.75,4,3.00204081632653,3,2024,"Sawmill Crescent - South side of street in front of 3560 Sawmill Cres.","no","no","no","no","no",4,1.75,2.66666666666667,2.16666666666667,1.5,2.66666666666667,2,3.05357142857143,3,2022,"No Stewardship"
"Sawmill - S side in front of 3538",120077,"No Stewardship","no","no","no","no","no",4,1.6,2.25,2.14285714285714,1.8,2,4,3.11275510204082,3,2024,"Sawmill Crescent - South Side in front of 3538 Sawmill Cres.","no","no","no","no","no",4,1.75,2.33333333333333,2.83333333333333,1.5,2.66666666666667,1.66666666666667,3.07738095238095,3,2022,"No Stewardship"
"Inverness St @ E 45th Ave NE",120203,"Green Streets","no","no","no","no","no",2.33333333333333,2.4,1.75,1.85714285714286,1.2,1.5,3,2.54200680272109,3,2024,"Inverness St @ E 45th Ave NE","no","no","no","no","no",2.33333333333333,2,2.25,2.5,1.83333333333333,1.33333333333333,3,2.75595238095238,3,2022,"No Stewardship"
"Inverness St @ E 45th Ave SE",120204,"Green Streets","no","no","no","no","no",2,1.6,2,1.85714285714286,1.4,2.25,3,2.56581632653061,3,2024,"Inverness St @ E 45th Ave SE","no","no","no","no","no",2,1.75,2.25,1.83333333333333,1.66666666666667,2.33333333333333,2,2.55952380952381,3,2022,"No Stewardship"
"Inverness St @ E 45th Ave SW",120205,"Green Streets","no","no","no","no","no",2.33333333333333,1.6,2,2,1.2,2.75,3,2.72261904761905,3,2024,"Inverness St @ E 45th Ave SW","no","no","no","no","no",2.33333333333333,1.75,1.75,2,1.83333333333333,3.66666666666667,2,2.8452380952381,3,2022,"No Stewardship"
"Carrall St between Keefer and Expo W",130001,"No Stewardship","no","no","no","no","no",2,1.6,1.75,2.14285714285714,1,2.5,4,2.71275510204082,3,2024,"Carrall St between Keefer and Expo W","no","no","no","no","no",2,1.66666666666667,1.75,1.5,1,2.33333333333333,1,2.125,2,2022,"No Stewardship"
"Carrall St between Keefer and Expo E",130002,"No Stewardship","no","no","no","no","no",2,1.6,1.75,2.14285714285714,1.33333333333333,2.25,4,2.70680272108844,3,2024,"Carrall St between Keefer and Expo E","no","no","no","no","no",2,2,1.75,1.83333333333333,1,2.66666666666667,1,2.33928571428571,2,2022,"No Stewardship"
"Pierview Crescent - W side bottom of road",110006,"No Stewardship","no","no","no","no","no",1.66666666666667,1.4,1.75,2,1.8,2.2,2.5,2.42738095238095,2,2024,"Pierview Crescent - West side of street, bottom of road","no","no","no","no","no",2.33333333333333,1.5,2,2.16666666666667,1.33333333333333,2,2,2.45238095238095,2,2022,"No Stewardship"
"Pierview Crescent - W side top of road",110007,"No Stewardship","no","no","no","no","no",1.66666666666667,1.2,1.5,1.71428571428571,1.4,1.75,4,2.33044217687075,2,2024,"Pierview Crescent - West side of street, towards top of road","no","no","no","no","no",1.66666666666667,1.25,2,1.83333333333333,1.5,2,1.66666666666667,2.20833333333333,2,2022,"No Stewardship"
"Quebec St @ 1st Ave NW",110102,"No Stewardship","no","no","no","no","no",2,1.8,2,2,1,2,1,2.24285714285714,2,2024,"Quebec St @ E 1st Ave NW","no","no","no","no","no",2,2,2.25,2,1,2.66666666666667,2.66666666666667,2.7202380952381,3,2022,"No Stewardship"
"Quebec St @ Central St SE",110103,"No Stewardship","no","no","no","no","no",2,1.8,1.75,2.14285714285714,1,1.75,1,2.16632653061225,2,2024,"Quebec St @ Central Street SE","no","no","no","no","no",2,2,2,2,1,3,3.66666666666667,2.88095238095238,3,2022,"No Stewardship"
"Quebec St @ Switchmen St SW",110104,"No Stewardship","no","no","no","no","no",2,1.4,2,2,1,1.8,1,2.11428571428571,2,2024,"Quebec St @ Switchmen Street SW","no","no","no","no","no",2,1.5,2.25,2,1,2.66666666666667,2.66666666666667,2.61309523809524,3,2022,"No Stewardship"
"Quebec St @ 1st Ave NE",110105,"No Stewardship","no","no","no","no","no",2,1.4,1.75,1.85714285714286,1.33333333333333,1.5,1,2.01343537414966,2,2024,"Quebec St @ E 1st Ave NE","no","no","no","no","no",2,1.5,2,2.5,1,2.66666666666667,3.33333333333333,2.76190476190476,3,2022,"No Stewardship"
"Quebec St @ 1st Ave SE",110106,"No Stewardship","no","no","no","no","no",2,1.4,1.75,1.85714285714286,1,2,1,2.07295918367347,2,2024,"Quebec St @ E 1st Ave SE","no","no","no","no","no",2,1.5,2,2,1,2.66666666666667,2.33333333333333,2.51190476190476,2,2022,"No Stewardship"
"Brigadoon near Humm (larger garden)",110114,"No Stewardship","no","no","no","no","no",2,1.2,1.75,2.14285714285714,1.4,1.8,2.5,2.31989795918367,2,2024,"Brigadoon Near Humm (large garden)","no","no","no","no","no",2,1.5,1.75,1.83333333333333,1.33333333333333,1.33333333333333,2,2.13690476190476,2,2022,"No Stewardship"
"Haro St @ Bute St",110117,"Green Streets","no","no","no","no","no",1,1,1.5,1.42857142857143,1.4,2,4.5,2.25612244897959,2,2024,"Haro St @ Bute St","no","no","no","no","no",1.5,1,1.33333333333333,1.33333333333333,1.4,2.33333333333333,1,1.84285714285714,1,2022,"No Stewardship"
"Arbutus St @ W 8th Ave NE",120002,"No Stewardship","no","no","no","no","no",2,1.2,2,2,1.2,2.25,1,2.19642857142857,2,2024,"Arbutus St @ W 8th Ave NE","no","no","no","no","no",2,2,2.25,1.83333333333333,2.16666666666667,2.66666666666667,2.33333333333333,2.80357142857143,3,2022,"No Stewardship"
"Balsam St @ W 6th Ave NW",120004,"Green Streets","no","no","no","no","no",1.66666666666667,1.6,2,1.71428571428571,1.2,2,2.5,2.33401360544218,2,2024,"Balsam St @ W 6th Ave NW","no","no","no","no","no",1.66666666666667,1.75,1.75,1.83333333333333,1.33333333333333,1.33333333333333,1,2,2,2022,"No Stewardship"
"Gilford St @ Comox St SW",120021,"Green Streets","no","no","no","no","no",2,1.6,2,2.28571428571429,1.4,1,2.5,2.31836734693878,2,2024,"Gilford St @ Comox St SW","no","no","no","yes","no",2,1.75,2.25,2.16666666666667,1.66666666666667,1,1.66666666666667,2.29761904761905,5,2022,"No Stewardship"
"Kerr St - W side, S of E Kent Ave S",120037,"No Stewardship","no","no","no","no","no",1.66666666666667,1.6,1.5,1.57142857142857,1.6,2,2.5,2.25340136054422,2,2024,"Kerr St - West side south of E Kent Ave S","no","no","no","no","no",1.66666666666667,1.75,1.75,1.66666666666667,1.5,2.33333333333333,2,2.3452380952381,2,2022,"No Stewardship"
"Laurel St @ 19th Ave SW",120042,"Green Streets","no","no","no","no","no",1.66666666666667,1.6,2.25,2.28571428571429,1.2,1.25,2.5,2.34931972789116,2,2024,"Laurel St @ W 19th Ave SW","no","no","no","no","no",1.66666666666667,1.75,1.75,1.83333333333333,1.33333333333333,1,2.33333333333333,2.11904761904762,2,2022,"No Stewardship"
"Rhodes St @ 41st Ave SW",120056,"No Stewardship","no","no","no","no","no",2.33333333333333,1.4,1.75,1.57142857142857,1.4,2.25,2.5,2.3843537414966,2,2024,"Rhodes St @ E 41st Ave SW","no","no","no","no","no",2.33333333333333,1.5,1.75,1.5,1.33333333333333,2.33333333333333,1.33333333333333,2.23214285714286,2,2022,"No Stewardship"
"Rhodes St @ 41st Ave SE",120058,"No Stewardship","no","no","no","no","no",2.66666666666667,1.2,1.75,1.85714285714286,1.4,2.2,2.5,2.43962585034014,2,2024,"Rhodes St @ E 41st Ave SE","no","no","no","no","no",2,1.25,1.5,2,1.33333333333333,2,1,2.06547619047619,2,2022,"No Stewardship"
"Trafalgar St @ W 12th Ave",120062,"No Stewardship","no","no","no","no","no",1.66666666666667,1.2,1.5,1.57142857142857,1.6,2,4,2.38197278911565,2,2024,"Trafalgar St @ W 12th Ave","no","no","no","no","no",1.66666666666667,1.25,1.5,1.66666666666667,1.5,2.33333333333333,1.33333333333333,2.08928571428571,2,2022,"No Stewardship"
"Riverwalk Ave @ Kerr St SE",120080,"No Stewardship","no","no","no","no","no",2,1.2,1.75,2,1.5,2,1.5,2.20357142857143,2,2024,"Riverwalk Ave - South side at corner of Kerr St.","no","no","no","no","no",2,1.25,2,1.66666666666667,1.33333333333333,2.66666666666667,2.33333333333333,2.43452380952381,2,2022,"No Stewardship"
"Riverwalk Ave - N side in front of unit 117",120081,"No Stewardship","no","no","no","no","no",2,1.2,1.5,1.42857142857143,1.6,2,1.5,2.04183673469388,2,2024,"Riverwalk Ave - North side of road in front of unit 117","no","no","no","no","no",2,1.25,1.75,2,1.66666666666667,2.33333333333333,2.66666666666667,2.47619047619048,2,2022,"No Stewardship"
"Riverwalk Ave - S side in front of 3138",120082,"No Stewardship","no","no","no","no","no",2,1.2,1.75,1.71428571428571,1.6,2.25,1.5,2.21020408163265,2,2024,"Riverwalk Ave - South side of street in front of 3138","no","no","no","no","no",2,1.25,1.75,2,1.5,2.66666666666667,2.66666666666667,2.52380952380952,2,2022,"No Stewardship"
"Riverwalk Ave - N side in front of unit 109",120083,"No Stewardship","no","no","no","no","no",2,1.2,1.5,1.42857142857143,1.6,2.5,1.5,2.14897959183673,2,2024,"Riverwalk Ave - North side in front of unit 109","no","no","no","no","no",2,1.25,1.75,2.5,1.5,2.33333333333333,2.66666666666667,2.55952380952381,3,2022,"No Stewardship"
"Riverwalk Ave - S side in front of 3162",120084,"No Stewardship","no","no","no","no","no",1.66666666666667,1.2,1.5,1.57142857142857,1.6,2.5,1.5,2.13197278911565,2,2024,"Riverwalk Ave - South side of street in front of 3162","no","no","no","no","no",1.66666666666667,1.25,1.75,2.16666666666667,1.5,2.66666666666667,2,2.41666666666667,2,2022,"No Stewardship"
"Riverwalk Ave - N side in front of unit 113",120085,"No Stewardship","no","no","no","no","no",2,1.2,1.5,1.42857142857143,1.6,2.5,1.5,2.14897959183673,2,2024,"Riverwalk Ave - North side in front of 113","no","no","no","no","no",2,1.25,1.75,2,1.66666666666667,2.33333333333333,2.33333333333333,2.42857142857143,2,2022,"No Stewardship"
"Riverwalk Ave - N side in front of unit 107",120086,"No Stewardship","no","no","no","no","no",1.66666666666667,1.4,1.5,1.57142857142857,1.4,2.75,1.5,2.19982993197279,2,2024,"Riverwalk Ave - North side of street in front of unit 107","no","no","no","no","no",1.66666666666667,1.25,2,2.83333333333333,1.33333333333333,2.33333333333333,2,2.51785714285714,2,2022,"No Stewardship"
"Riverwalk Ave - S side besides the parkette",120087,"No Stewardship","no","no","no","no","no",2,1.2,1.5,1.71428571428571,1.8,2.25,3,2.39948979591837,2,2024,"Riverwalk Ave - South side of street beside the parkette","no","no","no","no","no",2,1.25,1.75,1.66666666666667,1.5,3,2.66666666666667,2.52380952380952,2,2022,"No Stewardship"
"Ross St @ E 57th Ave SW",120088,"No Stewardship","no","no","no","no","no",2.33333333333333,1.8,2,1.28571428571429,1.4,1.75,3,2.42670068027211,2,2024,"Ross St @ E 57th Ave SW","no","no","no","no","no",3.5,2.75,1.33333333333333,2.16666666666667,1.6,2,1.66666666666667,2.73452380952381,3,2022,"No Stewardship"
"Ontario St @ E 42nd NE",120091,"Seeding Stewardship","no","no","no","no","no",1.66666666666667,1.8,1.75,2.14285714285714,1.8,1.25,2.5,2.34013605442177,2,2024,"Ontario St @ E 42nd Ave (NW Corner)","no","no","no","no","no",1.66666666666667,1.66666666666667,1.5,1.5,2.33333333333333,2.66666666666667,1.66666666666667,2.38095238095238,2,2022,"No Stewardship"
"Ontario St @ E 42nd (in front of school)",120093,"Seeding Stewardship","no","no","no","no","no",1.66666666666667,1.8,1.5,2.14285714285714,1,1.5,1.5,2.08299319727891,2,2024,"Ontario St @ E 42nd (SE Corner)","no","no","no","no","no",2,1.25,2,2,1.5,1.66666666666667,1,2.125,2,2022,"No Stewardship"
"Ontario St @ E 43rd NE",120094,"Seeding Stewardship","no","no","no","no","no",2,1.4,1.5,1.71428571428571,1.4,1.5,2.5,2.1530612244898,2,2024,"Ontario St @ E 43rd (NE Corner)","no","no","no","no","no",2,1.25,1.5,1.5,1.33333333333333,2,1.33333333333333,2.00595238095238,2,2022,"No Stewardship"
"Tisdall St @ 48th Ave NE",120097,"No Stewardship","no","no","no","no","no",2.66666666666667,1.2,1.5,1.57142857142857,1.4,2.25,3,2.40697278911565,2,2024,"Tisdall St @ W 48th Ave (NE Corner)","no","no","no","no","no",1.5,1,1.33333333333333,1.33333333333333,1.2,2,1.66666666666667,1.83809523809524,1,2022,"No Stewardship"
"Tisdall St @ 48th Ave NW",120098,"No Stewardship","no","no","no","no","no",2.33333333333333,1.4,1.75,1.71428571428571,1.2,1.75,3,2.35068027210884,2,2024,"Tisdall St @ W 48 Ave (NW Corner)","no","no","no","no","no",1.5,1.25,1.66666666666667,1.16666666666667,1.2,2,1,1.83214285714286,1,2022,"No Stewardship"
"Ross St @ E 59th Ave SW",120099,"No Stewardship","no","no","no","no","no",2,1.6,2.5,1.28571428571429,1.2,2,2,2.32551020408163,2,2024,"Ross St @ E 59th Ave SW","no","no","no","no","no",1.5,1.25,1.33333333333333,1.33333333333333,1.6,1.66666666666667,2.33333333333333,1.97261904761905,2,2022,"No Stewardship"
"Windsor St @ E 22nd",120103,"No Stewardship","no","no","no","no","no",2,1.4,1.5,1.57142857142857,1.2,1.75,2.5,2.14744897959184,2,2024,"Windsor St @ E 22nd","no","no","no","no","no",2,1.5,1.5,1.5,1.6,2.33333333333333,1,2.12142857142857,2,2022,"No Stewardship"
"Pine St @ W 8th Ave NE",120206,"Seeding Stewardship","no","no","no","no","no",2,1.2,1.75,1.85714285714286,1.4,2.25,1,2.14081632653061,2,2024,"Pine Street @8th NE Corner","no","no","no","no","no",1,1,1,1.5,1.4,2,1,1.66428571428571,1,2022,"No Stewardship"
"Haro St @ Broughton St",120209,"Green Streets","no","no","no","no","no",2,1.2,1.75,1.71428571428571,1.2,1.25,2.5,2.08163265306122,2,2024,"Haro St @ Broughton St","no","no","no","no","no",1,1,2.33333333333333,1.16666666666667,1.4,1.66666666666667,1,1.80714285714286,1,2022,"No Stewardship"
"Haro St @ Jervis St",120210,"Green Streets","no","no","no","no","no",2,1,1.75,1.57142857142857,1.4,1.8,2.5,2.15459183673469,2,2024,"Haro St @ Jervis St","no","no","no","no","no",1,1,1.33333333333333,1.16666666666667,1.4,1.66666666666667,1,1.59285714285714,1,2022,"No Stewardship"
"Paulson St SE corner",120212,"No Stewardship","no","no","no","no","no",1.33333333333333,1.2,1.5,1.85714285714286,1,1.5,3.5,2.1312925170068,2,2024,"Paulson Street SE","no","yes","no","no","no",1,1,1,1.83333333333333,2.33333333333333,2.33333333333333,2.33333333333333,2.13095238095238,5,2022,"No Stewardship"
"Carrall St between Expo and Pacific W",130004,"No Stewardship","no","no","no","no","no",1.66666666666667,1.6,1.5,2.28571428571429,1.66666666666667,2.2,1.5,2.31598639455782,2,2024,"Carrall St between Expo and Pacific Blvd W","no","no","no","no","no",1.66666666666667,1.66666666666667,1.5,1.66666666666667,1,1.66666666666667,2.33333333333333,2.10714285714286,2,2022,"No Stewardship"
"Carolina St @ E 23rd (Tupper Grnwy)",130018,"Seeding Stewardship","no","no","no","no","no",1.66666666666667,1.2,1.25,1.57142857142857,1.2,2,3,2.12840136054422,2,2024,"Carolina St @ East 23rd (Tupper Greenway)","no","no","no","no","no",1,1.25,2.66666666666667,1.33333333333333,1.8,1.66666666666667,1,2.025,2,2022,"No Stewardship"
"St George St @ E 23rd (Tupper Grnwy)",130019,"Seeding Stewardship","no","no","no","no","no",1.33333333333333,1.2,1.5,1.42857142857143,1.4,2,3,2.13231292517007,2,2024,"Saint George Street @ 23rd (Tupper GRNWAY)","no","no","no","no","no",1.33333333333333,1.25,1.5,1.33333333333333,2.16666666666667,1.66666666666667,1,1.875,1,2022,"No Stewardship"
"Yukon @ 63rd",130101,"Seeding Stewardship","no","no","no","no","no",1.66666666666667,1.2,1.75,1.57142857142857,1.5,2.6,1.5,2.19268707482993,2,2024,"Yukon St @ W 63rd Ave SE","no","no","no","no","no",1.5,1.25,2.25,1.5,1.6,1.66666666666667,2.33333333333333,2.2047619047619,2,2022,"No Stewardship"
